"term","count"
"was almost",1
"was tangling",1
"who was",1
"with aaron",1
"do five",1
"five gays",1
"gays walk",1
"how do",1
"in one",1
"one direction",1
"walk in",1
"cutoff for",1
"for flannel",1
"the cutoff",1
"was the",1
"feel better",1
"made me",1
"me feel",1
"thanks that",1
"that made",1
"does she",1
"follow u",1
"lol well",1
"oh lol",1
"she follow",1
"u yet",1
"well does",1
"can i",1
"have parts",1
"i have",1
"parts like",1
"does it",1
"it send",1
"like jesus",1
"message does",1
"only people",1
"people like",1
"read that",1
"send to",1
"that only",1
"to read",1
"what message",1
"after this",1
"against the",1
"and head",1
"and walked",2
"as we",1
"as well",1
"beyond worth",1
"brave the",1
"but it",1
"but we",1
"central park",3
"day but",1
"decided to",1
"deciding against",1
"destination i",1
"did it",1
"didn't realize",1
"executed which",1
"fault but",1
"feet probably",1
"for handling",1
"friday we",1
"go around",1
"guggenheim museum",1
"handling the",1
"head to",1
"how huge",1
"huge central",1
"hurt the",1
"i didn't",1
"i was",1
"is my",1
"it to",1
"it was",1
"it wasn't",1
"it we",1
"just how",1
"made it",1
"metropolitan on",1
"museum which",1
"my fault",1
"my feet",1
"nearby deciding",1
"of us",1
"on this",1
"our destination",1
"park i",1
"park is",1
"park we",1
"perfectly executed",1
"pretty proud",1
"probably hurt",1
"proud of",1
"realize just",1
"subway and",1
"subway as",1
"the guggenheim",1
"the metropolitan",1
"the subway",2
"the worst",1
"this day",1
"this go",1
"through central",1
"to brave",1
"to central",1
"to our",1
"to the",1
"us for",1
"walked and",2
"walked through",1
"was beyond",1
"was my",1
"was nearby",1
"was pretty",1
"wasn't perfectly",1
"we decided",1
"we did",1
"we made",1
"we walked",1
"we went",1
"well as",1
"went to",1
"which was",2
"worst after",1
"worth it",1
"a fan",1
"am a",1
"case you",1
"couldn't tell",1
"endings no",1
"fan of",1
"get your",1
"happy endings",1
"head out",1
"i am",1
"in case",1
"no not",1
"not those",1
"of the",2
"out of",1
"tell i",1
"the gutter",1
"the happy",1
"those get",1
"you couldn't",1
"your head",1
"good morning",1
"age of",1
"at the",1
"correspondent mike",1
"died at",1
"has died",1
"mike wallace",1
"minutes correspondent",1
"nyt reports",1
"reports minutes",1
"the age",1
"wallace has",1
"best crossfit",1
"crossfit in",1
"east market",1
"in louisville",1
"market st",1
"st best",1
"and everyone's",1
"be playing",1
"et al",1
"everyone's fave",1
"fave et",1
"i'll be",1
"on i'll",1
"playing and",1
"today on",1
"ever visited",1
"have you",1
"no have",1
"or no",1
"our website",1
"visited our",1
"yes or",1
"you ever",1
"again just",1
"an underwhelming",1
"bitter with",1
"buy if",1
"down on",1
"goes way",1
"i see",1
"if i",1
"it again",1
"just off",1
"list of",1
"mark overly",1
"of pilsners",1
"off the",1
"on the",1
"one goes",1
"overly bitter",1
"pils flavor",1
"pilsners to",1
"see it",1
"the list",1
"the mark",1
"this one",1
"to buy",1
"underwhelming pils",1
"way down",1
"with an",1
"check out",1
"currently trading",1
"for student",1
"for students",1
"house keys",1
"ids really",1
"laptops currently",1
"like phone",1
"or house",1
"out laptops",1
"phone or",1
"policy for",1
"really want",1
"something like",1
"student ids",1
"students to",1
"to check",1
"trading for",1
"want something",1
"writing policy",1
"attack o",1
"im listen",1
"listen to",1
"massive attack",1
"o yeah",1
"to massive",1
"and i",1
"around and",1
"around comes",1
"come down",1
"comes around",1
"dont wanna",1
"goes around",1
"i dont",1
"wanna come",1
"whats goes",1
"due to",1
"fact that",1
"that because",1
"the fact",1
"to the",1
"the cemetery",1
"visiting the",1
"a victoria",1
"awesome if",1
"be awesome",1
"i looked",1
"if i",1
"know what",1
"like a",1
"looked like",1
"secret model",1
"victoria secret",1
"what would",1
"would be",1
"you know",1
"a hysterical",1
"celebrities to",1
"done shooting",1
"for celebrities",1
"go w",1
"got done",1
"hysterical scene",1
"just got",1
"scene for",1
"shooting a",1
"to go",1
"able to",1
"along the",1
"and through",1
"are we",1
"at my",1
"be able",1
"be at",1
"be close",1
"but i'm",1
"but to",1
"careful planning",1
"close are",1
"despite careful",1
"destination now",1
"enjoyed seeing",1
"fault of",1
"frustrating to",1
"get there",1
"go but",1
"i'm ready",1
"i've enjoyed",1
"it's frustrating",1
"know where",1
"must be",1
"my destination",1
"no fault",1
"not be",1
"now surely",1
"of your",1
"own i've",1
"planning and",1
"ready to",1
"route but",1
"scenic route",1
"seeing the",1
"sights along",1
"surely we",1
"the scenic",1
"the sights",1
"there when",1
"there yet",1
"through no",1
"to be",1
"to despite",1
"to get",1
"to go",1
"to know",1
"to not",1
"want to",2
"we must",1
"we there",1
"when you",1
"where you",1
"you want",2
"your own",1
"again we",1
"at couldn't",1
"couldn't sleep",1
"for great",1
"great time",1
"him out",1
"left at",1
"luv to",1
"out again",1
"sleep this",1
"this for",1
"to wear",1
"we left",1
"we would",1
"wear him",1
"would luv",1
"both rite",1
"it we",1
"rite then",1
"then lol",1
"we both",1
"after weight",1
"ah not",1
"best idea",1
"class after",1
"idea ever",1
"lifting ah",1
"not the",1
"the best",1
"weight lifting",1
"he was",1
"i totally",1
"omg i",1
"thought he",1
"totally thought",1
"was joking",1
"principal curses",1
"that when",1
"when your",1
"your principal",1
"about the",1
"amount of",1
"and no",1
"and see",1
"at dinner",1
"can take",1
"day and",1
"dinner time",1
"drive to",1
"friend wants",1
"him until",1
"i offered",1
"if the",1
"it to",1
"logical reasoning",1
"long drive",1
"next day",1
"next town",1
"no amount",1
"of logical",1
"offered that",1
"play with",1
"reasoning about",1
"satisfy him",1
"school the",1
"see if",1
"seemed to",1
"take it",1
"that we",1
"the friend",1
"the long",1
"the next",2
"time seemed",1
"to play",1
"to satisfy",1
"to school",1
"to the",1
"town uninvited",1
"uninvited at",1
"until i",1
"wants to",1
"we can",1
"with it",1
"ackles d",1
"and mrs",1
"anniversary mr",1
"happy anniversary",1
"mr and",1
"mrs ackles",1
"ur welcome",1
"welcome happy",1
"me so",1
"right now",1
"sick right",1
"so sick",1
"almond milk",1
"and almond",1
"milk pudding",1
"tapioca and",1
"ago was",1
"at school",1
"be late",1
"came in",1
"gonna be",1
"i came",1
"i look",1
"in my",1
"late so",1
"like oh",1
"lmao oh",1
"look like",1
"min ago",1
"my pjs",1
"oh i",1
"oh well",1
"pjs lmao",1
"school woke",1
"so i",1
"up min",1
"was gonna",1
"woke up",1
"about to",1
"board the",1
"dark side",1
"of the",1
"on the",1
"plane see",1
"see you",1
"side of",1
"the dark",1
"the moon",1
"the plane",1
"to board",1
"you on",1
"a sandwich",1
"better have",1
"come equipped",1
"equipped with",1
"have come",1
"pillow better",1
"sandwich maker",1
"that pillow",1
"with a",1
"fave part",1
"filming it",1
"game plan",1
"now fave",1
"of filming",1
"part of",1
"plan right",1
"right now",1
"watching game",1
"about america",1
"do you",1
"good morning",1
"love about",1
"morning tweets",1
"tweets what",1
"what do",1
"you love",1
"what days",1
"any better",1
"as well",1
"be my",1
"begin with",1
"better to",1
"bipolar i",1
"changed ohwell",1
"feel like",1
"has changed",1
"i feel",1
"i might",1
"i'm bipolar",1
"it was",1
"like i'm",1
"like it",1
"might as",1
"mood has",1
"my whole",1
"not like",1
"ohwell not",1
"sometimes i",1
"to begin",1
"was any",1
"well be",1
"whole mood",1
"with anyway",1
"at pm",1
"dj shall",1
"every wed",1
"featuring dj",1
"go soon",1
"pm featuring",1
"shall we",1
"trivia every",1
"we go",1
"wed at",1
"being the",1
"best co",1
"co instructor",1
"for being",1
"in the",1
"instructor in",1
"thank you",1
"the best",1
"the whole",1
"whole wide",1
"wide world",1
"you for",1
"it's nice",1
"nice out",1
"be good",1
"coming soon",1
"direct funding",1
"donors when",1
"from donors",1
"funding no",1
"going to",1
"it yeah",1
"it's going",1
"money from",1
"need it",1
"new tools",1
"no waiting",1
"soon direct",1
"to be",1
"tools coming",1
"waiting money",1
"when you",1
"yeah it's",1
"you need",1
"a bit",1
"a same",1
"about something",1
"about work",1
"and i",1
"asked me",1
"at work",1
"being a",1
"bit too",1
"course interesting",1
"dismissive of",1
"else sorry",1
"for you",1
"guess i",1
"happens at",1
"i guess",1
"i just",1
"i realize",1
"i shrugged",1
"i was",1
"i'll work",1
"interesting stuff",1
"interesting that",1
"it off",1
"just wanted",1
"me about",1
"nothing interesting",1
"now that",1
"of course",1
"off with",1
"old thing",1
"on some",1
"realize now",1
"same old",1
"shrugged it",1
"some stories",1
"something else",1
"sorry i'll",1
"stories for",1
"stuff happens",1
"talk about",1
"that i",1
"that when",1
"thing nothing",1
"to talk",1
"too dismissive",1
"wanted to",1
"was being",1
"when asked",1
"with a",1
"work and",1
"work i",1
"work on",1
"according to",1
"all are",1
"are welcome",1
"brother all",1
"cooking pot",1
"i'm cooking",1
"like i'm",1
"looks like",1
"my older",1
"older brother",1
"on tuesday",1
"pot roast",1
"roast on",1
"to my",1
"tuesday according",1
"autograph me",1
"famous now",1
"i saw",1
"i want",1
"me too",1
"now d",1
"saw you",1
"too you're",1
"want your",1
"you i",1
"you're famous",1
"your autograph",1
"another one",1
"do that",1
"find that",1
"got him",1
"him to",1
"how she",1
"i saw",1
"i wonder",1
"o i",1
"omgomgomgomg whered",1
"one too",1
"saw another",1
"she got",1
"that i",1
"that o",1
"to do",1
"whered you",1
"wonder how",1
"you find",1
"a bigger",1
"ability to",1
"and others",1
"and spending",1
"as learning",1
"at my",1
"been busy",1
"been too",1
"bigger dose",1
"boost my",1
"busy i",1
"can host",1
"care of",1
"confidence in",1
"contact in",1
"cook properly",1
"day enriching",1
"dose of",1
"enriching my",1
"every day",1
"for my",1
"good i",1
"has been",1
"have been",1
"home and",1
"host people",1
"human contact",1
"i can",1
"i have",1
"i made",1
"i need",1
"in my",2
"introverted for",1
"learning to",1
"made some",1
"my ability",1
"my confidence",1
"my home",1
"my life",1
"my own",1
"my supportive",1
"myself and",1
"need a",1
"of myself",1
"of quality",1
"others such",1
"own good",1
"past week",1
"people at",1
"properly so",1
"quality human",1
"relationships i",1
"resolutions to",1
"so that",1
"some resolutions",1
"spending time",1
"such as",1
"supportive relationships",1
"take care",1
"that i",1
"this past",1
"time every",1
"to boost",1
"to cook",1
"to take",1
"too introverted",1
"week has",1
"english patient",1
"michael the",1
"the english",1
"got it",1
"you got",1
"all text",1
"and leave",1
"at the",1
"clear all",1
"leave you",1
"of the",1
"prompt at",1
"text and",1
"the prompt",1
"the top",1
"the window",1
"this will",1
"top of",1
"will clear",1
"with the",1
"you with",1
"a series",1
"a sewage",1
"a time",1
"and expanded",1
"and settlements",1
"battles and",1
"because this",1
"before regulations",1
"but the",1
"by the",1
"city developed",1
"city sought",1
"completed in",1
"costs of",1
"developed for",1
"early s",1
"expanded in",1
"for the",1
"in and",1
"in by",1
"in that",1
"jersey city",2
"led to",1
"legal battles",1
"next years",1
"of protracted",1
"of treating",1
"of waterways",1
"offset rising",1
"over the",1
"payments to",1
"periodically over",1
"plant in",1
"polluting of",1
"prevented polluting",1
"protracted legal",1
"refused that",1
"regulations prevented",1
"rising costs",1
"s jersey",1
"series of",1
"settlements periodically",1
"sewage but",1
"sewage treatment",1
"sought payments",1
"that led",1
"that was",1
"the early",1
"the next",1
"the towns",2
"this was",1
"time before",1
"to a",1
"to offset",1
"towns a",1
"towns refused",1
"treating sewage",1
"treatment plant",1
"was a",1
"was completed",1
"waterways jersey",1
"in the",1
"spider's web",1
"the spider's",1
"a fact",1
"action against",1
"against the",1
"always operated",1
"and will",1
"as taking",1
"by e",1
"chapter has",1
"continue to",1
"did not",1
"do so",1
"e mail",1
"fact gathering",1
"gathering mode",1
"has always",1
"in a",1
"in new",1
"is in",1
"is quite",1
"it is",1
"lawfully in",1
"letter as",1
"mail that",1
"mexico and",1
"mode the",1
"navy veterans",1
"new mexico",1
"not regard",1
"obvious is",1
"operated lawfully",1
"quite obvious",1
"regard letter",1
"said by",1
"she did",1
"taking action",1
"that she",1
"the chapter",1
"the navy",1
"to do",1
"veterans it",1
"will continue",1
"busy for",1
"dnt wanna",1
"fall for",1
"for me",1
"for someone",1
"i dnt",1
"someone who's",1
"too busy",1
"wanna fall",1
"who's too",1
"believe i",1
"best dj",1
"can't believe",1
"dj from",1
"from the",1
"i missed",1
"i went",1
"i wish",1
"last night",1
"man can't",1
"missed the",1
"night man",1
"royale last",1
"the best",1
"the uk",1
"to royale",1
"went to",1
"wish i",1
"and watch",1
"at pm",1
"behindthemusic documentary",1
"everyone please",1
"favorite singer",1
"into tonight",1
"my favorite",1
"please tune",1
"pm and",1
"singer behindthemusic",1
"tonight at",1
"tune into",1
"watch my",1
"and everyone",1
"and fans",1
"and giggles",1
"and nothing",1
"atlanta pop",1
"attend the",1
"basically gras",1
"been it's",1
"big trend",1
"butter sandwiches",1
"buttons in",1
"celebrities and",1
"costumes and",1
"culture celebrities",1
"downtown atlanta",1
"dranks and",1
"dress up",1
"elaborate costumes",1
"elevator buttons",1
"everyone dranks",1
"everything and",1
"excellent peanut",1
"except of",1
"exception of",1
"fans attend",1
"for those",1
"giggles the",1
"gras in",1
"have no",1
"how i",1
"how someone",1
"i have",1
"i wanted",1
"in downtown",1
"in elaborate",1
"in the",1
"it to",1
"it's basically",1
"latter dress",1
"marriott marquis",1
"never been",1
"no pictures",1
"nothing quite",1
"o the",1
"of how",1
"of some",1
"out how",1
"peanut butter",1
"pictures except",1
"pop culture",1
"quite working",1
"sandwiches i",1
"some excellent",1
"someone the",1
"steampunk everything",1
"the big",1
"the elevator",1
"the exception",1
"the latter",1
"the marriott",1
"the year",1
"those who've",1
"to with",1
"trend o",1
"up in",1
"wanted it",1
"was steampunk",1
"who've never",1
"with the",1
"working out",1
"year was",1
"a big",1
"asia its",1
"big deal",1
"girl named",1
"its noy",1
"named asia",1
"noy a",1
"some girl",1
"being single",1
"i just",1
"i used",1
"just wanna",1
"love being",1
"now i",1
"single now",1
"to love",1
"used to",1
"wanna boo",1
"i'm officially",1
"officially bored",1
"yep i'm",1
"along or",1
"get along",1
"or perish",1
"a humble",1
"be a",1
"humble warrior",1
"warrior emotional",1
"a job",1
"all my",1
"and last",1
"before a",1
"enchanting husband",1
"husband before",1
"job interview",1
"last of",1
"my enchanting",1
"of all",1
"a large",1
"a real",1
"a room",1
"a show",1
"a sonic",1
"about this",1
"absence do",1
"accompany these",1
"across the",1
"actually figure",1
"album's distinctive",1
"all the",1
"aluminum cans",1
"amidst all",1
"an entirely",1
"an impression",1
"an old",2
"an part",1
"and banging",1
"and clicking",1
"and employ",1
"and found",1
"and hissing",1
"and large",1
"and mystery",1
"and sounds",1
"and their",1
"and unforgettable",1
"and various",1
"anybody of",1
"are intimately",1
"are lots",1
"around sometimes",1
"around the",1
"array of",2
"as evidenced",1
"as well",1
"assemble rube",1
"aural narrative",1
"banging noises",1
"because there",1
"being moved",2
"boxes and",1
"bursting with",1
"by anybody",1
"by whimsical",1
"cans across",1
"cardboard boxes",1
"challenging music",1
"cinematic about",1
"circumstances of",1
"clacking rustling",1
"clapping clacking",1
"clicking of",1
"consists mostly",1
"construction an",1
"contraptions jamming",1
"difficult if",1
"dispel there's",1
"distinctive array",1
"do little",1
"dub mix",1
"echo explosions",1
"employ a",1
"encouraging the",1
"entirely aural",1
"even if",1
"evidenced by",1
"explosions scattered",1
"fascinating challenging",1
"figure out",1
"film that's",1
"final product",1
"floors voices",1
"footsteps on",1
"for a",1
"found her",1
"from cardboard",1
"gadgets and",1
"gestures like",1
"goldberg sound",1
"guitars making",1
"her absence",1
"hissing noise",1
"holed up",1
"humor as",1
"if it's",1
"if not",1
"imagination encouraging",1
"imagine the",1
"immersive and",1
"impossible to",1
"impression that",1
"in an",2
"in other",1
"in space",1
"intimately linked",1
"into a",1
"invent narratives",1
"is fascinating",1
"is music",1
"it consists",1
"it's difficult",1
"its sounds",1
"jamming on",1
"knocking by",1
"large array",1
"large objects",1
"lengthy song",1
"like it",1
"like they're",1
"like titling",1
"linked with",1
"listener to",1
"listening and",1
"little to",1
"lots of",1
"making contraptions",1
"making their",1
"mix because",1
"mostly of",1
"motorized gadgets",1
"moved around",2
"movements and",1
"music bursting",1
"music stimulates",1
"music which",1
"music with",1
"musicians holed",1
"mystery a",1
"narrative an",1
"narratives to",1
"noise this",1
"noises from",1
"noises suggests",1
"not impossible",1
"nowhere dub",1
"objects being",2
"of clapping",1
"of construction",1
"of echo",1
"of humor",1
"of nowhere",1
"of objects",1
"of sounds",1
"of tape",1
"of the",2
"of these",1
"of tiny",1
"old theater",2
"on guitars",1
"on wood",1
"one track",1
"or simply",1
"origins of",1
"other words",1
"out rolls",1
"out the",1
"part of",1
"process even",1
"process of",1
"product this",1
"puzzling sounds",1
"rather the",1
"real sense",1
"recorded in",1
"recording process",1
"recordings the",1
"rolls of",1
"room and",1
"rube goldberg",1
"rustling noises",1
"sampled recordings",1
"scattered amidst",1
"sense of",1
"she walked",1
"show to",1
"shuffling and",1
"simply to",1
"something very",1
"sometimes violently",1
"song titles",1
"sonic film",1
"sound making",1
"sounds are",1
"sounds footsteps",1
"sounds like",1
"sounds or",1
"sounds when",1
"space in",1
"spilling aluminum",1
"stage out",1
"start sampled",1
"stimulates the",1
"suggests an",1
"surprises and",1
"tape to",1
"that the",1
"that's utterly",1
"the album's",1
"the circumstances",1
"the final",1
"the imagination",1
"the lengthy",1
"the listener",1
"the music",1
"the musicians",1
"the origins",1
"the recording",1
"the stage",1
"the ticking",2
"theater and",1
"theater spilling",1
"their movements",1
"their process",1
"there are",1
"there's something",1
"these puzzling",1
"these sounds",1
"they're waiting",1
"this is",2
"this music",1
"ticking and",2
"tiny motorized",1
"titles she",1
"titling one",1
"to accompany",1
"to actually",1
"to assemble",1
"to dispel",1
"to imagine",1
"to invent",1
"to start",1
"track knocking",1
"unforgettable buy",1
"up in",1
"utterly immersive",1
"various shuffling",1
"very cinematic",1
"violently in",1
"voices whispering",1
"waiting for",1
"walked into",1
"was recorded",1
"well as",1
"when listening",1
"which was",1
"whimsical gestures",1
"whispering like",1
"with a",1
"with surprises",1
"with the",1
"wood floors",1
"words its",1
"a hour",1
"and as",1
"as they",1
"back relax",1
"hour melodic",1
"melodic ride",1
"midnight with",1
"on a",1
"relax tonight",1
"sit back",1
"take you",1
"they take",1
"tonight midnight",1
"with and",1
"you on",1
"and to",1
"as we",1
"audience and",1
"bob moore",1
"emcee to",1
"house's proof",1
"in tv",1
"meta house's",1
"moore morning",1
"morning emcee",1
"of performance",1
"or pop",1
"performance or",1
"pop as",1
"proof of",1
"say in",1
"the audience",1
"to the",1
"to you",1
"tv bob",1
"we say",1
"you're meta",1
"monster on",1
"netflix hoe",1
"on netflix",1
"party monster",1
"april fools",1
"fools just",1
"is your",1
"just kidding",1
"kidding is",1
"mind blown",1
"your mind",1
"a lot",1
"and those",1
"don't have",1
"getting through",1
"harder time",1
"have a",1
"lot harder",1
"that don't",1
"their day",1
"those that",1
"through their",1
"time getting",1
"into rain",1
"snow turned",1
"turned into",1
"be the",1
"haircut sis",1
"must be",1
"really must",1
"sis lol",1
"the haircut",1
"and i've",1
"colleagues we're",1
"discuss it",1
"further in",1
"going to",1
"i've shared",1
"in our",1
"it further",1
"it was",1
"it with",1
"meeting tomorrow",1
"our meeting",1
"shared it",1
"to discuss",1
"was and",1
"we're going",1
"with colleagues",1
"to twitter",1
"welcome to",1
"agreed that",1
"both agreed",1
"do more",1
"is something",1
"it is",1
"more often",1
"should do",1
"something we",1
"that it",1
"we both",1
"we should",1
"blue light",1
"example blue",1
"a lead",1
"hot to",1
"kobe was",1
"lose a",1
"to lose",1
"was hot",1
"and tron",1
"gladiator and",1
"on your",1
"soundtracks on",1
"tron soundtracks",1
"your track",1
"a room",1
"a young",1
"an apartment",1
"and her",1
"and off",1
"another job",1
"apartment on",1
"baby the",1
"behind the",1
"being completed",1
"big house",1
"born baby",1
"children were",1
"circle being",1
"city leaving",1
"clearing a",1
"couple clearing",1
"filled with",1
"for junk",1
"for their",1
"going for",1
"hearse filled",1
"her children",1
"her husband",1
"her husband's",1
"her yard",1
"house with",1
"husband lived",1
"husband's things",1
"into an",1
"is going",1
"is moving",1
"is no",1
"job maybe",1
"junk we",1
"leave her",1
"leaving behind",1
"lived there",1
"maybe a",1
"motorway and",1
"moving into",1
"new born",1
"no room",1
"of the",1
"off to",1
"on the",1
"onto the",1
"other side",1
"our hearse",1
"out for",1
"pool where",1
"raised and",1
"room out",1
"room where",1
"she is",2
"she thanks",1
"side of",1
"thanks us",1
"the big",1
"the circle",1
"the city",1
"the motorway",1
"the other",1
"the pool",1
"the toward",1
"their new",1
"there is",1
"things onto",1
"to another",1
"toward the",1
"us wholeheartedly",1
"we leave",1
"were raised",1
"where her",1
"where she",1
"wholeheartedly she",1
"with her",1
"with the",1
"yard our",1
"young couple",1
"bought the",1
"i bought",1
"the following",1
"do rt",1
"dude someone",1
"f king",1
"just f",1
"king pissed",1
"me off",1
"messed with",1
"my teacher",1
"of my",1
"off she",1
"one of",1
"pissed me",1
"rt one",1
"she do",1
"she messed",1
"someone warn",1
"teacher just",1
"the wrong",1
"warn her",1
"wat she",1
"with the",1
"wrong dude",1
"anyone ever",1
"bar says",1
"desktop nav",1
"emails desktop",1
"ever have",1
"gmail phone",1
"have this",1
"in gmail",1
"in my",1
"my inbox",1
"nav bar",1
"none show",1
"phone says",1
"problem in",1
"says none",1
"says unread",1
"show up",1
"this problem",1
"unread emails",1
"up in",1
"first glimpse",1
"glimpse of",1
"got my",1
"just got",1
"my first",1
"of the",1
"seattle skyline",1
"thanks just",1
"the seattle",1
"cooking wine",1
"tsp cooking",1
"a member",1
"a spear",1
"a welsh",1
"absence of",1
"against the",1
"ages warrior",1
"an end",1
"and as",1
"approaching father",1
"as he",2
"as much",1
"ask for",1
"attack their",1
"battlefield spoils",1
"before approaching",1
"breath his",1
"brethren to",1
"but a",1
"calls forth",1
"can before",1
"chest puts",1
"curse calls",1
"curses god",1
"dark ages",1
"dreams and",1
"dying breath",1
"end to",1
"father intending",1
"for her",1
"forth a",1
"gather as",1
"gather him",1
"god with",1
"hand in",1
"he can",1
"he curses",1
"her hand",1
"him to",1
"his chest",1
"his curse",1
"his dreams",1
"his dying",1
"his last",1
"in marriage",1
"in the",1
"intending to",1
"irish who",1
"last raid",1
"marriage but",1
"member of",1
"much battlefield",1
"of peredur",1
"of the",2
"on his",1
"peredur a",1
"peredur wants",1
"puts an",1
"raid against",1
"romans peredur",1
"saint tells",1
"settlements in",1
"spear to",1
"spoils as",1
"story of",1
"tells the",1
"the absence",1
"the brethren",1
"the irish",1
"the romans",1
"the story",1
"their settlements",1
"their work",1
"to ask",1
"to gather",2
"to his",2
"to their",1
"wants to",1
"warrior on",1
"welsh dark",1
"who attack",1
"with his",1
"about it",1
"about me",1
"could talk",1
"find out",1
"instead of",1
"it to",1
"me about",1
"me you",1
"my side",1
"of the",1
"of tweeting",1
"out my",1
"side of",1
"talk to",1
"the story",1
"to find",1
"to me",1
"tweeting about",1
"you could",1
"again for",1
"and guy",1
"fieri together",1
"first time",1
"for the",1
"guy fieri",1
"kid rock",1
"rock and",1
"the first",1
"together again",1
"anything with",1
"are not",1
"disappearing like",1
"going to",1
"like this",1
"not going",1
"to win",1
"we are",1
"win anything",1
"with disappearing",1
"a wise",1
"country william",1
"despises his",1
"his own",1
"never despises",1
"own country",1
"traveler never",1
"william hazlitt",1
"wise traveler",1
"bout what",1
"but idk",1
"i just",1
"idk bout",1
"just wanna",1
"now but",1
"right now",1
"tweet right",1
"wanna tweet",1
"a week",1
"back to",1
"get back",1
"i know",1
"know took",1
"our second",1
"second inquiry",1
"them a",1
"to get",1
"to our",1
"took them",1
"week to",1
"at meal",1
"do you",1
"for your",1
"how do",1
"kids at",1
"meal times",1
"mix things",1
"things up",1
"up for",1
"you mix",1
"your kids",1
"again and",1
"and im",1
"are in",1
"brothers are",1
"im so",1
"in the",1
"jonas brothers",1
"recording studio",1
"so excited",1
"studio again",1
"the jonas",1
"the recording",1
"eproducts less",1
"less biz",1
"off eproducts",1
"poker tables",1
"tables up",1
"to off",1
"up to",1
"a sister",1
"by chance",1
"chance g",1
"girl is",1
"hannah rowan",1
"is hannah",1
"of yours",1
"rowan a",1
"sister of",1
"yours by",1
"a mistake",1
"afraid that",1
"all the",1
"been to",1
"by home",1
"change her",1
"college i",1
"her by",1
"her she'd",1
"her short",1
"home schooling",2
"hurt her",1
"i was",3
"i would",1
"making a",1
"maybe i",1
"mistake somehow",1
"never been",1
"school until",1
"schooling her",2
"she started",1
"she'd never",1
"short change",1
"so afraid",1
"somehow that",1
"started college",1
"that i",1
"that maybe",1
"the years",1
"to school",1
"until she",1
"was home",1
"was making",1
"was so",1
"would hurt",1
"years i",1
"a week",1
"c'mon brah",1
"for a",1
"i'm ready",1
"lives for",1
"ready to",1
"swap lives",1
"to swap",1
"week c'mon",1
"and sampson",1
"and some",1
"for me",1
"me and",1
"some surprises",1
"surprises for",1
"a little",1
"allow it",1
"and allow",1
"and sugar",1
"become frothy",1
"it to",1
"liquid and",1
"little of",1
"mix the",1
"of the",1
"sugar to",1
"the warm",1
"the yeast",1
"to a",1
"to become",1
"warm liquid",1
"yeast and",1
"a discount",1
"discount on",1
"groupon now",1
"now offering",1
"offering a",1
"on their",1
"own stock",1
"their own",1
"a performance",1
"amazing j",1
"and amazing",1
"and steven",1
"better every",1
"calling it",1
"competition with",1
"could win",1
"don't have",1
"dusty springfield's",1
"every time",1
"flawless and",1
"for her",1
"gets better",1
"got rave",1
"have to",1
"her individual",1
"individual performance",1
"it flawless",1
"j lo",1
"like that",1
"lo said",1
"love me",1
"me she",1
"out that",1
"performance like",1
"performance with",1
"pointed out",1
"randy calling",1
"rave reviews",1
"reviews for",1
"said she",1
"sang dusty",1
"say you",1
"she could",1
"she gets",1
"she got",1
"she sings",1
"skylar sang",1
"springfield's you",1
"steven pointed",1
"that and",1
"that she",1
"the competition",1
"time she",1
"to say",1
"win the",1
"with a",1
"with randy",1
"you don't",1
"you love",1
"fake these",1
"these days",1
"so would",1
"that was",1
"was so",1
"would understand",1
"aces workshop",1
"enjoyed the",1
"i enjoyed",1
"richmond va",1
"the aces",1
"va i",1
"workshop at",1
"affordable as",1
"and affordable",1
"and banana",1
"are solid",1
"aren't names",1
"as for",1
"banana aren't",1
"but their",1
"crew and",1
"for i'm",1
"get one",1
"i'm stoked",1
"j crew",1
"names but",1
"polos are",1
"solid and",1
"stoked to",1
"sure thing",1
"their polos",1
"thing j",1
"to get",1
"afford to",1
"all these",1
"anyone still",1
"burger king",1
"celebrities on",1
"commercials does",1
"does anyone",1
"does burger",1
"go there",1
"have all",1
"how does",1
"king afford",1
"on their",1
"still go",1
"their commercials",1
"these celebrities",1
"to have",1
"about elder",1
"also remember",1
"back in",1
"elder scrolls",1
"feeling that",1
"i also",1
"remember feeling",1
"same way",1
"scrolls back",1
"that same",1
"way about",1
"a time",1
"day a",1
"fallen officers",1
"honor fallen",1
"is national",1
"memorial day",1
"national peace",1
"officers memorial",1
"peace officers",1
"time to",1
"to honor",1
"today is",1
"a million",1
"always get",1
"best ideas",1
"do i",1
"for new",1
"get the",1
"have a",1
"i always",1
"i have",1
"ideas for",1
"items when",1
"million other",1
"new items",1
"other things",1
"the best",1
"things to",1
"to do",1
"when i",1
"why do",1
"i would",1
"if you",1
"left jane",1
"miss you",1
"neither i",1
"would miss",1
"you if",1
"you left",1
"a solo",1
"acoustic set",1
"also at",1
"and doors",1
"and here's",1
"and on",1
"and we",1
"are the",1
"arsenal and",1
"at that",1
"at the",1
"child june",1
"confessional july",1
"dashboard confessional",1
"doors tribute",1
"from dashboard",1
"here's one",1
"horizon a",1
"house and",1
"julien k",1
"july on",1
"june and",1
"june with",1
"k and",1
"lit june",1
"mouse house",1
"on sale",2
"on the",1
"one on",1
"sale at",1
"sale may",1
"set from",1
"solo acoustic",1
